REF;LONGITUDE;LATITUDE;NOM1;NOM2;TYPE;OSM_ID;OSM_LON;OSM_LAT;OSM_NAME;DIFF_POS;DIFF_NOM;DIFF_NOM_CAP
136238;2.301623434;48.82840263;BRANCION;PARIS-15EME;tram;1777319429;2.3008638;48.8286669;Brancion;62;1;0
23877;2.231694628;48.82187656;BRIMBORION;MEUDON;tram;314640918;2.2313906;48.8221655;Brimborion;39;1;0
142808;2.363936518;48.93613956;CIMETIERE DE SAINT-DENIS;SAINT-DENIS;tram;1667214870;2.3639518;48.9362564;Cimetière de Saint-Denis;13;1;1
136244;2.340664098;48.81988311;CITE UNIVERSITAIRE;PARIS-14EME;tram;1773529787;2.3386615;48.8203321;Cité Universitaire;154;1;1
142805;2.377642241;48.93164677;COSMONAUTES;LA COURNEUVE;tram;317494412;2.3782356;48.9317377;Cosmonautes;44;1;0
142806;2.37742429;48.93201531;COSMONAUTES;SAINT-DENIS;tram;317494412;2.3782356;48.9317377;Cosmonautes;66;1;0
142801;2.406594381;48.92263755;DANTON;LA COURNEUVE;tram;317532682;2.4067210;48.9226272;Danton;9;1;0
136235;2.283199081;48.83451626;DESNOUETTES;PARIS-15EME;tram;1785131570;2.2840257;48.8343535;Desnouettes;63;1;0
136240;2.313011622;48.82591143;DIDOT;PARIS-14EME;tram;1775401059;2.3133067;48.8259380;Didot;21;1;0
142794;2.41703999;48.91776009;DRANCY-AVENIR;BOBIGNY;tram;317532784;2.4176888;48.9177704;Drancy Avenir;47;1;1
142798;2.41717674;48.91801163;DRANCY-AVENIR;DRANCY;tram;317532784;2.4176888;48.9177704;Drancy Avenir;46;1;1
433651;2.435126605;48.91320368;ESCADRILLE NORMANDIE-NIEMEN;BOBIGNY;tram;317532949;2.4354007;48.9127095;Escadrille Normandie-Niémen;58;1;1
139446;2.50555121;48.89635965;GARE D'ALLEE DE LA TOUR RENDEZ VOUS;VILLEMOMBLE;tram;252606513;2.5065307;48.8972675;Allée de la Tour-Rendez-Vous;123;1;1
139439;2.493650829;48.93219814;GARE D'AULNAY SOUS BOIS;AULNAY-SOUS-BOIS;tram;252136693;2.4961150;48.9319525;Aulnay-sous-Bois;182;1;1
139449;2.478993681;48.89447094;GARE DE BONDY;BONDY;tram;475659189;2.4805455;48.8940116;Bondy;124;1;1
139441;2.518920848;48.92690499;GARE DE FREINVILLE SEVRAN;SEVRAN;tram;252136676;2.5191432;48.9265328;Freinville – Sevran;44;1;1
139444;2.51705585;48.90826877;GARE DE GARGAN;LES PAVILLONS-SOUS-BOIS;tram;252136190;2.5168395;48.9078625;Gargan;47;1;1
139442;2.516600154;48.92235212;GARE DE L ABBAYE;LIVRY-GARGAN;tram;317555839;2.5167223;48.9222088;L'Abbaye;18;1;1
433655;2.345377876;48.93593557;GARE DE ST-DENIS RER;SAINT-DENIS;tram;317531418;2.3461710;48.9360385;Gare de Saint-Denis;59;1;1
139447;2.497973226;48.89216411;GARE DES COQUETIERS;VILLEMOMBLE;tram;252133924;2.4994353;48.8925261;Les Coquetiers;114;1;1
139445;2.511199316;48.90192357;GARE DES PAVILLONS SOUS BOIS;LES PAVILLONS-SOUS-BOIS;tram;317556372;2.5124374;48.9031797;Les Pavillons sous Bois;166;1;1
142792;2.430138872;48.91469502;GASTON ROULAUD;BOBIGNY;tram;317532793;2.4312223;48.9141248;Gaston Roulaud;101;1;0
142796;2.430275467;48.91482972;GASTON ROULAUD;DRANCY;tram;317532793;2.4312223;48.9141248;Gaston Roulaud;104;1;0
136237;2.294945146;48.82994632;GEORGES BRASSENS;PARIS-15EME;tram;1777319430;2.2956776;48.8298202;Georges Brassens;55;1;0
302757;2.272688271;48.83496939;HENRI FARMAN-PORTE DE SEINE;PARIS-15EME;tram;1494071315;2.2707208;48.8347386;Henri Farman;146;1;1
142793;2.425449729;48.91553438;HOPITAL AVICENNE;BOBIGNY;tram;317532792;2.4249638;48.9158378;Hôpital Avicenne;48;1;1
142797;2.425709188;48.91575886;HOPITAL AVICENNE;DRANCY;tram;317532792;2.4249638;48.9158378;Hôpital Avicenne;55;1;1
142807;2.370203168;48.93394071;HOPITAL DELAFONTAINE;SAINT-DENIS;tram;317532441;2.3711107;48.9335647;Hôpital Delafontaine;78;1;1
433650;2.443464361;48.90653265;HOTEL DE VILLE DE BOBIGNY;BOBIGNY;tram;317533145;2.4440150;48.9065352;Hôtel de ville de Bobigny;40;1;1
142803;2.392770878;48.92720116;HOTEL DE VILLE DE LA COURNEUVE;LA COURNEUVE;tram;317532553;2.3925113;48.9273439;Hôtel de Ville de la Courneuve;24;1;1
57288;2.262560599;48.82922488;ISSY-VAL DE SEINE-RER;ISSY-LES-MOULINEAUX;tram;1094877304;2.2629292;48.8295975;Issy – Val-de-Seine;49;1;1
57356;2.259199292;48.82397842;JACQUES HENRI LARTIGUE;ISSY-LES-MOULINEAUX;tram;1094878229;2.2605181;48.8247756;Jacques-Henri Lartigue;131;1;1
136241;2.319838576;48.82438472;JEAN MOULIN;PARIS-14EME;tram;1775401068;2.3188779;48.8247030;Jean Moulin;78;1;0
142786;2.45385568;48.90777215;JEAN ROSTAND;BOBIGNY;tram;317534280;2.4543251;48.9078149;Jean Rostand;34;1;0
433652;2.410648711;48.92064901;LA COURNEUVE - 8 MAI 1945;LA COURNEUVE;tram;1527068803;2.4105372;48.9208163;La Courneuve – 8 Mai 1945;20;1;1
433653;2.384262982;48.9301031;LA COURNEUVE - SIX ROUTES;LA COURNEUVE;tram;317532515;2.3844067;48.9300939;La Courneuve – 6 Routes;10;1;1
57296;2.23622019;48.8918432;LA DEFENSE-METRO-RER-GRANDE ARCHE;PUTEAUX;tram;27117113;2.2392094;48.8940032;La Défense - Grande Arche;324;1;1
142790;2.437301648;48.90980927;LA FERME;BOBIGNY;tram;317533103;2.4374521;48.9096853;La Ferme;17;1;0
139448;2.487412325;48.89283395;LA REMISE A JORELLE;BONDY;tram;475659184;2.4877790;48.8931121;Remise à Jorelle;40;1;1
57293;2.220353012;48.85673324;LES COTEAUX;SAINT-CLOUD;tram;1494071316;2.2205443;48.8573809;Les Coteaux;73;1;0
57292;2.220698733;48.85138154;LES MILONS;SAINT-CLOUD;tram;1494071317;2.2211954;48.8498326;Les Milons;175;1;0
23879;2.251437927;48.82154641;LES MOULINEAUX;ISSY-LES-MOULINEAUX;tram;1494071318;2.2510185;48.8214549;Les Moulineaux;32;1;0
142789;2.438522927;48.90684701;LIBERATION;BOBIGNY;tram;317494454;2.4385967;48.9069531;Libération;12;1;1
139443;2.514593223;48.91771783;LYCEE HENRY SELLIER;LIVRY-GARGAN;tram;317556145;2.5150834;48.9160488;Lycée Henri Sellier;188;1;1
142810;2.355670909;48.93853162;MARCHE DE SAINT-DENIS;SAINT-DENIS;tram;317531846;2.3557590;48.9385201;Marché de Saint-Denis;6;1;1
142795;2.414150641;48.9187865;MAURICE LACHATRE;BOBIGNY;tram;317532776;2.4138259;48.9191836;Maurice Lachâtre;50;1;1
142799;2.41427377;48.91905603;MAURICE LACHATRE;DRANCY;tram;317532776;2.4138259;48.9191836;Maurice Lachâtre;35;1;1
23878;2.239968241;48.81924572;MEUDON SUR SEINE;MEUDON;tram;210545408;2.2391994;48.8191867;Meudon-sur-Seine;56;1;1
136243;2.333150999;48.82143347;MONTSOURIS;PARIS-14EME;tram;1773529788;2.3334117;48.8214912;Montsouris;20;1;0
23876;2.225296463;48.82864742;MUSEE DE SEVRES;SEVRES;tram;27372996;2.2253263;48.8287506;Musée de Sèvres;11;1;1
142782;2.459470782;48.89539576;NOISY-LE-SEC RER;NOISY-LE-SEC;tram;416344791;2.4603167;48.8959222;Noisy le Sec;85;1;1
57291;2.221792917;48.84315904;PARC DE SAINT CLOUD;SAINT-CLOUD;tram;1370384299;2.2218920;48.8434307;Parc de Saint-Cloud?;31;1;1
142783;2.465064084;48.90013511;PETIT NOISY;NOISY-LE-SEC;tram;317534933;2.4656827;48.9006177;Petit Noisy;70;1;0
142784;2.469834639;48.90527052;PONT DE BONDY;NOISY-LE-SEC;tram;317494759;2.4699398;48.9047194;Pont de Bondy;61;1;0
136232;2.269967848;48.83832025;PONT DU GARIGLIANO (HOPITAL G.POMPIDOU);PARIS-15EME;tram;1785132453;2.2711056;48.8380959;Pont du Garigliano;86;1;1
302755;2.280867144;48.83183238;PORTE D'ISSY-ELIANNE JEANNIN-GARREAU;PARIS-15EME;tram;1370151262;2.2810363;48.8318408;Porte d'Issy;12;1;1
136247;2.35987487;48.81896427;PORTE D'ITALIE;PARIS-13EME;tram;1773094368;2.3601446;48.8190540;Porte d'Italie;22;1;0
136249;2.369669185;48.82177965;PORTE D'IVRY;PARIS-13EME;tram;317553622;2.3700324;48.8218337;Porte d'Ivry;27;1;0
136242;2.325453679;48.82306871;PORTE D'ORLEANS;PARIS-14EME;tram;827017921;2.3261362;48.8229372;Porte d'Orléans;52;1;1
136248;2.364312246;48.81981268;PORTE DE CHOISY;PARIS-13EME;tram;1773094369;2.3640630;48.8197920;Porte de Choisy;18;1;0
136239;2.306306806;48.82739283;PORTE DE VANVES;PARIS-14EME;tram;1775401613;2.3066496;48.8274136;Porte de Vanves;25;1;0
136236;2.287748006;48.83268477;PORTE DE VERSAILLES (PARC DES EXPOSITIONS);PARIS-15EME;tram;1777319565;2.2880718;48.8326682;Porte de Versailles;23;1;1
302754;2.287496539;48.83228022;PORTE DE VERSAILLES-PARC DES EXPOSITIONS;PARIS-15EME;tram;1370151186;2.2874744;48.8321075;Porte de Versailles;19;1;1
136246;2.350164417;48.82074079;POTERNE DES PEUPLIERS;PARIS-13EME;tram;1773421166;2.3506966;48.8208378;Poterne des Peupliers;40;1;0
23870;2.233136953;48.8831589;PUTEAUX;PUTEAUX;tram;1494071330;2.2337902;48.8832819;Puteaux;49;1;0
139440;2.513780728;48.93138819;ROUGEMONT CHANTELOUP;SEVRAN;tram;252136683;2.5152436;48.9308682;Rougemont – Chanteloup;121;1;1
136245;2.34522353;48.81939756;STADE CHARLETY (PORTE DE GENTILLY);PARIS-13EME;tram;1773421168;2.3457695;48.8194847;Stade Charléty;41;1;1
142802;2.401148566;48.92454583;STADE GEO ANDRE;LA COURNEUVE;tram;317532554;2.4019728;48.9243842;Stade Géo André;62;1;1
57294;2.221397127;48.86795503;SURESNES-LONGCHAMP;SURESNES;tram;1494071331;2.2213691;48.8682858;Suresnes – Longchamp;36;1;1
302756;2.276277266;48.83361416;SUZANNE LENGLEN;PARIS-15EME;tram;1494071332;2.2770395;48.8332260;Suzanne Lenglen;70;1;0
142811;2.350227567;48.93724273;THEATRE GERARD PHILIPE;SAINT-DENIS;tram;317531526;2.3503360;48.9373717;Théâtre Gérard Philippe;16;1;1
